GroupName,UnitName,ContactName,Address,TimeIn,textbox16,StopLengthSecs,textbox7
,Unit: ZNN824,la Y de Monteria,21 I-25 ,16/08/2024 5:23:23 p.m.,16/08/2024 5:26:22 p.m.,00h:02m:59s,704h:18m:38s
,Unit: ZNN824,la Y de Monteria,22 I-25 ,16/08/2024 5:23:23 p.m.,16/08/2024 5:26:22 p.m.,00h:02m:59s,704h:18m:38s
,Unit: ZNN824,Peaje Carimagua,El Viajano - Pueblo Nuevo ,16/08/2024 6:10:43 p.m.,16/08/2024 6:11:04 p.m.,00h:00m:21s,704h:18m:38s
,Unit: ZNN824,Hotel Los Manguitos PlanetaRica,Buenavista-Planeta Rica ,16/08/2024 6:49:35 p.m.,16/08/2024 6:50:13 p.m.,00h:00m:38s,704h:18m:38s
,Unit: ZNN824,Peaje La Apartada,Caucasia-La Apartada,17/08/2024 4:20:50 a.m.,17/08/2024 4:22:13 a.m.,00h:01m:23s,704h:18m:38s
,Unit: ZNN824,Peaje Taraza,Puerto Bélgica-Tarazá,17/08/2024 6:08:18 a.m.,17/08/2024 6:08:52 a.m.,00h:00m:34s,704h:18m:38s
,Unit: ZNN824,Peaje Llanos de Cuiva,Yarumal-Llanos de Cuivá,17/08/2024 5:43:59 p.m.,17/08/2024 5:45:35 p.m.,00h:01m:36s,704h:18m:38s
,Unit: ZNN824,Peaje El Trapiche,Hatillo-Girardota,18/08/2024 4:21:03 a.m.,18/08/2024 4:21:25 a.m.,00h:00m:22s,704h:18m:38s
,Unit: ZNN824,Itagui,1-99 I-25 ,18/08/2024 5:01:46 a.m.,18/08/2024 5:02:11 a.m.,00h:00m:25s,704h:18m:38s
,Unit: ZNN824,Parq. la Alpujarra,24-52 Carrera 42,18/08/2024 5:02:26 a.m.,18/08/2024 5:04:22 a.m.,00h:01m:56s,704h:18m:38s
,Unit: ZNN824,Fungicol Y Cia,Santa Barbara-Caldas ,18/08/2024 5:28:29 a.m.,18/08/2024 5:29:08 a.m.,00h:00m:39s,704h:18m:38s
,Unit: ZNN824,Alto de Minas,Santa Barbara-Caldas ,18/08/2024 5:44:23 a.m.,18/08/2024 5:44:47 a.m.,00h:00m:24s,704h:18m:38s
,Unit: ZNN824,PC SANTA BARBARA,13-91 25,18/08/2024 6:12:56 a.m.,18/08/2024 6:13:56 a.m.,00h:01m:00s,704h:18m:38s
,Unit: ZNN824,PC LA PINTADA,25,18/08/2024 6:55:53 a.m.,18/08/2024 6:58:38 a.m.,00h:02m:45s,704h:18m:38s
,Unit: ZNN824,El 41 - La Felisa,Manizales-La Felisa ,18/08/2024 8:21:47 a.m.,18/08/2024 8:23:07 a.m.,00h:01m:20s,704h:18m:38s
,Unit: ZNN824,Peaje Toro,Toro-Ansermanuevo,21/08/2024 11:17:17 a.m.,21/08/2024 11:19:47 a.m.,00h:02m:30s,704h:18m:38s
,Unit: ZNN824,Crucero Palmira Candelaria,Palmira-Candelaria ,22/08/2024 5:55:54 a.m.,22/08/2024 5:57:24 a.m.,00h:01m:30s,704h:18m:38s
,Unit: ZNN824,Crucero Candelaria Caloto,153959 Candelaria-Puerto Tejada Florida ,22/08/2024 6:13:32 a.m.,22/08/2024 6:15:08 a.m.,00h:01m:36s,704h:18m:38s
,Unit: ZNN824,Crucero Palmira Candelaria,Palmira-Candelaria ,22/08/2024 1:29:37 p.m.,22/08/2024 1:31:10 p.m.,00h:01m:33s,704h:18m:38s
,Unit: ZNN824,Anillo V Coronado,Rozo-Palmira ,22/08/2024 1:35:59 p.m.,22/08/2024 1:37:58 p.m.,00h:01m:59s,704h:18m:38s
,Unit: ZNN824,Peaje Toro,Toro-Ansermanuevo,22/08/2024 5:34:22 p.m.,22/08/2024 5:35:12 p.m.,00h:00m:50s,704h:18m:38s
,Unit: ZNN824,Peaje Acapulco,La Virginia-Viterbo ,22/08/2024 6:35:27 p.m.,22/08/2024 6:36:18 p.m.,00h:00m:51s,704h:18m:38s
,Unit: ZNN824,El 41 - La Felisa,Manizales-La Felisa ,22/08/2024 7:23:55 p.m.,22/08/2024 7:25:54 p.m.,00h:01m:59s,704h:18m:38s
,Unit: ZNN824,La Fesisa,92-100 US25 ,22/08/2024 8:03:12 p.m.,22/08/2024 8:04:56 p.m.,00h:01m:44s,704h:18m:38s
,Unit: ZNN824,PC SANTA BARBARA,13-91 25,22/08/2024 10:12:23 p.m.,22/08/2024 10:15:31 p.m.,00h:03m:08s,704h:18m:38s
,Unit: ZNN824,Alto de Minas,Santa Barbara-Caldas ,22/08/2024 11:01:19 p.m.,22/08/2024 11:02:07 p.m.,00h:00m:48s,704h:18m:38s
,Unit: ZNN824,Fungicol Y Cia,Santa Barbara-Caldas ,22/08/2024 11:22:36 p.m.,22/08/2024 11:22:54 p.m.,00h:00m:18s,704h:18m:38s
,Unit: ZNN824,Prodia S.A.S,40 48c Sur29 48c Sur56-48c Sur2 Carrera 46 Carrera 46 Carrera 46 Calle 48c Sur ,23/08/2024 8:24:49 a.m.,23/08/2024 11:31:41 a.m.,03h:06m:52s,704h:18m:38s
,Unit: ZNN824,Brenntag Itagui,"Cl50 41, Itagui, Antioquia",23/08/2024 11:35:17 a.m.,23/08/2024 11:35:44 a.m.,00h:00m:27s,704h:18m:38s
,Unit: ZNN824,Quisol Medellin ,"Kr53 79bbs-68, La Estrella, Antioquia",23/08/2024 11:42:29 a.m.,23/08/2024 11:43:18 a.m.,00h:00m:49s,704h:18m:38s
,Unit: ZNN824,Lavagel S A S,33215 81 Sur117 Carrera 28 Calle 84 Sur Calle 84 Sur ,23/08/2024 11:45:03 a.m.,23/08/2024 11:45:39 a.m.,00h:00m:36s,704h:18m:38s
,Unit: ZNN824,Alto de Minas,Santa Barbara-Caldas ,23/08/2024 12:18:46 p.m.,23/08/2024 12:19:18 p.m.,00h:00m:32s,704h:18m:38s
,Unit: ZNN824,PC SANTA BARBARA,13-91 25,23/08/2024 12:50:08 p.m.,23/08/2024 12:51:54 p.m.,00h:01m:46s,704h:18m:38s
,Unit: ZNN824,Peaje Supia,Marmato-La Felisa,23/08/2024 2:16:26 p.m.,23/08/2024 2:17:24 p.m.,00h:00m:58s,704h:18m:38s
,Unit: ZNN824,El 41 - La Felisa,Manizales-La Felisa ,23/08/2024 2:54:48 p.m.,23/08/2024 2:56:15 p.m.,00h:01m:27s,704h:18m:38s
,Unit: ZNN824,Peaje Acapulco,La Virginia-Viterbo ,23/08/2024 3:45:32 p.m.,23/08/2024 3:45:56 p.m.,00h:00m:24s,704h:18m:38s
,Unit: ZNN824,Crucero Palmira Candelaria,Palmira-Candelaria ,6/09/2024 3:47:25 p.m.,6/09/2024 3:44:38 p.m.,0-1h:57m:13s,704h:18m:38s
,Unit: ZNN824,Crucero Palmira Candelaria,Palmira-Candelaria ,6/09/2024 3:47:40 p.m.,6/09/2024 3:48:41 p.m.,00h:01m:01s,704h:18m:38s
,Unit: ZNN824,par.el Saman,14a33-14a173 Carrera 21 ,6/09/2024 4:33:32 p.m.,30/09/2024 12:11:26 p.m.,571h:37m:54s,704h:18m:38s
,Unit: ZNN824,Parq.JGS,36358 Calle 15,6/09/2024 4:43:54 p.m.,7/09/2024 6:24:20 a.m.,13h:40m:26s,704h:18m:38s
,Unit: ZNN824,Lubricentro El Arepazo,2-100 Calle 15 ,6/09/2024 4:46:53 p.m.,6/09/2024 9:07:57 p.m.,04h:21m:04s,704h:18m:38s
,Unit: ZNN824,Lubricentro El Arepazo,2-100 Calle 15 ,7/09/2024 1:06:38 a.m.,7/09/2024 6:24:20 a.m.,05h:17m:42s,704h:18m:38s
,Unit: ZNN824,CCL YUMBO,16128-16202 Carrera 34 ,7/09/2024 6:29:09 a.m.,7/09/2024 6:30:23 a.m.,00h:01m:14s,704h:18m:38s
,Unit: ZNN824,Conquimica Yumbo,32a213 Calle 15,7/09/2024 8:07:07 a.m.,7/09/2024 8:08:18 a.m.,00h:01m:11s,704h:18m:38s
,Unit: ZNN824,CCL YUMBO,16128-16202 Carrera 34 ,7/09/2024 8:08:18 a.m.,7/09/2024 8:09:11 a.m.,00h:00m:53s,704h:18m:38s
,Unit: ZNN824,Empaques Flexibles SA,27A15-27A63 Calle 15 ,7/09/2024 12:01:44 p.m.,7/09/2024 12:03:44 p.m.,00h:02m:00s,704h:18m:38s
,Unit: ZNN824,Quimicol Ltda,"Kr32 15, Yumbo, Valle Cauca",7/09/2024 12:03:44 p.m.,7/09/2024 12:05:43 p.m.,00h:01m:59s,704h:18m:38s
,Unit: ZNN824,Parq.JGS,36358 Calle 15,7/09/2024 12:06:46 p.m.,7/09/2024 8:21:54 p.m.,08h:15m:08s,704h:18m:38s
,Unit: ZNN824,Lubricentro El Arepazo,2-100 Calle 15 ,7/09/2024 12:11:44 p.m.,7/09/2024 8:21:54 p.m.,08h:10m:10s,704h:18m:38s
,Unit: ZNN824,Lubricentro El Arepazo,2-100 Calle 15 ,7/09/2024 8:22:16 p.m.,7/09/2024 8:25:00 p.m.,00h:02m:44s,704h:18m:38s
,Unit: ZNN824,Parq.JGS,36358 Calle 15,7/09/2024 8:22:16 p.m.,7/09/2024 8:25:00 p.m.,00h:02m:44s,704h:18m:38s
,Unit: ZNN824,Parq.JGS,36358 Calle 15,7/09/2024 8:26:21 p.m.,7/09/2024 8:41:20 p.m.,00h:14m:59s,704h:18m:38s
,Unit: ZNN824,Lubricentro El Arepazo,2-100 Calle 15 ,7/09/2024 8:26:54 p.m.,7/09/2024 8:33:00 p.m.,00h:06m:06s,704h:18m:38s
,Unit: ZNN824,Lubricentro El Arepazo,2-100 Calle 15 ,7/09/2024 8:34:14 p.m.,7/09/2024 8:33:46 p.m.,0-1h:59m:32s,704h:18m:38s
,Unit: ZNN824,Lubricentro El Arepazo,2-100 Calle 15 ,7/09/2024 8:37:09 p.m.,7/09/2024 8:41:20 p.m.,00h:04m:11s,704h:18m:38s
,Unit: ZNN824,Lubricentro El Arepazo,2-100 Calle 15 ,7/09/2024 8:43:10 p.m.,7/09/2024 8:41:40 p.m.,0-1h:58m:30s,704h:18m:38s
,Unit: ZNN824,Parq.JGS,36358 Calle 15,7/09/2024 8:43:10 p.m.,7/09/2024 8:41:40 p.m.,0-1h:58m:30s,704h:18m:38s
,Unit: ZNN824,Parq.JGS,36358 Calle 15,7/09/2024 8:53:07 p.m.,7/09/2024 8:59:21 p.m.,00h:06m:14s,704h:18m:38s
,Unit: ZNN824,Lubricentro El Arepazo,2-100 Calle 15 ,7/09/2024 8:53:07 p.m.,7/09/2024 8:59:21 p.m.,00h:06m:14s,704h:18m:38s
,Unit: ZNN824,Parq.JGS,36358 Calle 15,7/09/2024 9:00:10 p.m.,7/09/2024 11:59:12 p.m.,02h:59m:02s,704h:18m:38s
,Unit: ZNN824,Lubricentro El Arepazo,2-100 Calle 15 ,7/09/2024 9:10:07 p.m.,7/09/2024 11:59:12 p.m.,02h:49m:05s,704h:18m:38s
,Unit: ZNN824,taller Frenimuelles,"Kr36a 13-90, Cali, Valle Cauca",7/09/2024 11:59:12 p.m.,7/09/2024 11:59:40 p.m.,00h:00m:28s,704h:18m:38s
,Unit: ZNN824,Lubricentro El Arepazo,2-100 Calle 15 ,7/09/2024 11:59:40 p.m.,9/09/2024 7:27:42 a.m.,31h:28m:02s,704h:18m:38s
,Unit: ZNN824,Parq.JGS,36358 Calle 15,7/09/2024 11:59:40 p.m.,9/09/2024 7:29:43 a.m.,31h:30m:03s,704h:18m:38s
,Unit: ZNN824,Indugral,Cali-Cerrito Oeste ,9/09/2024 7:52:58 a.m.,9/09/2024 8:01:10 a.m.,00h:08m:12s,704h:18m:38s
,Unit: ZNN824,Zona Franca del Pacifico,Cali-Cerrito Oeste ,9/09/2024 7:52:58 a.m.,9/09/2024 8:01:10 a.m.,00h:08m:12s,704h:18m:38s
,Unit: ZNN824,Oil Chemical s a,"Via Principal, Palmira, Valle Cauca",9/09/2024 8:01:10 a.m.,9/09/2024 8:02:20 a.m.,00h:01m:10s,704h:18m:38s
,Unit: ZNN824,Zona Franca del Pacifico,Cali-Cerrito Oeste ,9/09/2024 8:02:20 a.m.,9/09/2024 8:05:20 a.m.,00h:03m:00s,704h:18m:38s
,Unit: ZNN824,TRIADA EMA S.A.,Cali-Cerrito Oeste ,9/09/2024 9:13:45 a.m.,9/09/2024 9:26:48 a.m.,00h:13m:03s,704h:18m:38s
,Unit: ZNN824,Tecnologia Quimica Internacional S.A.S.,Cali-Cerrito Oeste ,9/09/2024 4:05:03 p.m.,9/09/2024 4:05:50 p.m.,00h:00m:47s,704h:18m:38s
,Unit: ZNN824,Peaje Betania,"Av 25s, Tulua, Valle Cauca",9/09/2024 5:36:10 p.m.,9/09/2024 5:39:17 p.m.,00h:03m:07s,704h:18m:38s
,Unit: ZNN824,EDS Terpel San Pedro,,9/09/2024 5:40:25 p.m.,9/09/2024 6:00:11 p.m.,00h:19m:46s,704h:18m:38s
,Unit: ZNN824,Peaje La Uribe al Norte,Tulua - Cartago,9/09/2024 6:31:51 p.m.,9/09/2024 6:32:09 p.m.,00h:00m:18s,704h:18m:38s
,Unit: ZNN824,PC LA PAILA,Tulua - Cartago,9/09/2024 6:42:12 p.m.,9/09/2024 6:43:37 p.m.,00h:01m:25s,704h:18m:38s
,Unit: ZNN824,Peaje Cerritos 2,Cerritos-Cartago ,9/09/2024 8:10:40 p.m.,9/09/2024 8:11:58 p.m.,00h:01m:18s,704h:18m:38s
,Unit: ZNN824,Peaje Acapulco,La Virginia-Viterbo ,9/09/2024 8:43:31 p.m.,9/09/2024 8:44:01 p.m.,00h:00m:30s,704h:18m:38s
,Unit: ZNN824,El 41 - La Felisa,Manizales-La Felisa ,10/09/2024 5:14:22 a.m.,10/09/2024 5:16:20 a.m.,00h:01m:58s,704h:18m:38s
,Unit: ZNN824,PC SANTA BARBARA,13-91 25,10/09/2024 9:34:54 a.m.,10/09/2024 9:35:37 a.m.,00h:00m:43s,704h:18m:38s
,Unit: ZNN824,Alto de Minas,Santa Barbara-Caldas ,10/09/2024 10:41:12 a.m.,10/09/2024 10:41:47 a.m.,00h:00m:35s,704h:18m:38s
,Unit: ZNN824,Parq. la Alpujarra,24-52 Carrera 42,10/09/2024 11:26:30 a.m.,10/09/2024 11:29:08 a.m.,00h:02m:38s,704h:18m:38s
,Unit: ZNN824,Peaje El Trapiche,Hatillo-Girardota,10/09/2024 12:18:55 p.m.,10/09/2024 12:20:16 p.m.,00h:01m:21s,704h:18m:38s
,Unit: ZNN824,Peaje Llanos de Cuiva,Yarumal-Llanos de Cuivá,10/09/2024 2:21:04 p.m.,10/09/2024 2:22:17 p.m.,00h:01m:13s,704h:18m:38s
,Unit: ZNN824,Peaje Taraza,Puerto Bélgica-Tarazá,10/09/2024 7:20:42 p.m.,10/09/2024 7:22:12 p.m.,00h:01m:30s,704h:18m:38s
,Unit: ZNN824,Peaje La Apartada,Caucasia-La Apartada,10/09/2024 8:47:33 p.m.,10/09/2024 8:47:50 p.m.,00h:00m:17s,704h:18m:38s
,Unit: ZNN824,Hotel Parqueadero Marisol,30-38 I-25 ,10/09/2024 9:58:51 p.m.,10/09/2024 10:01:50 p.m.,00h:02m:59s,704h:18m:38s
,Unit: ZNN824,Hotel Parqueadero Marisol,30-38 I-25 ,11/09/2024 3:18:49 a.m.,11/09/2024 3:29:12 a.m.,00h:10m:23s,704h:18m:38s
,Unit: ZNN824,Hotel Parqueadero Marisol,30-38 I-25 ,11/09/2024 4:42:39 a.m.,11/09/2024 5:14:01 a.m.,00h:31m:22s,704h:18m:38s
,Unit: ZNN824,Hotel Los Manguitos PlanetaRica,Buenavista-Planeta Rica ,11/09/2024 5:14:01 a.m.,11/09/2024 5:15:48 a.m.,00h:01m:47s,704h:18m:38s
,Unit: ZNN824,Peaje Carimagua,El Viajano - Pueblo Nuevo ,11/09/2024 5:47:51 a.m.,11/09/2024 5:49:12 a.m.,00h:01m:21s,704h:18m:38s
,Unit: ZNN824,la Y de Monteria,21 I-25 ,11/09/2024 6:15:29 a.m.,11/09/2024 8:33:04 a.m.,02h:17m:35s,704h:18m:38s
,Unit: ZNN824,la Y de Monteria,22 I-25 ,11/09/2024 6:15:29 a.m.,11/09/2024 8:33:04 a.m.,02h:17m:35s,704h:18m:38s
,Unit: ZNN824,Peaje La esperanza,Palmira-Tolu Viejo,11/09/2024 9:58:25 a.m.,11/09/2024 9:59:08 a.m.,00h:00m:43s,704h:18m:38s
,Unit: ZNN824,Peaje San Onofre,Troncal del Caribe,11/09/2024 11:41:39 a.m.,11/09/2024 11:43:46 a.m.,00h:02m:07s,704h:18m:38s
,Unit: ZNN824,parq. hotel El mulero,Variante Mamonal Gambote ,11/09/2024 1:32:46 p.m.,11/09/2024 1:35:33 p.m.,00h:02m:47s,704h:18m:38s
,Unit: ZNN824,Hotel las Olas Cgena,Variante Mamonal Gambote ,11/09/2024 1:48:14 p.m.,11/09/2024 1:50:10 p.m.,00h:01m:56s,704h:18m:38s
,Unit: ZNN824,EDS Celeste Terpel,Variante Mamonal Gambote ,14/09/2024 5:52:29 a.m.,14/09/2024 6:02:00 a.m.,00h:09m:31s,704h:18m:38s
,Unit: ZNN824,Peaje La esperanza,Palmira-Tolu Viejo,14/09/2024 9:01:49 a.m.,14/09/2024 9:02:13 a.m.,00h:00m:24s,704h:18m:38s
,Unit: ZNN824,Peaje La Apartada,Caucasia-La Apartada,14/09/2024 12:45:03 p.m.,14/09/2024 12:46:39 p.m.,00h:01m:36s,704h:18m:38s
,Unit: ZNN824,Peaje Taraza,Puerto Bélgica-Tarazá,14/09/2024 2:04:28 p.m.,14/09/2024 2:05:30 p.m.,00h:01m:02s,704h:18m:38s
,Unit: ZNN824,Peaje Llanos de Cuiva,Yarumal-Llanos de Cuivá,14/09/2024 6:58:55 p.m.,14/09/2024 6:59:57 p.m.,00h:01m:02s,704h:18m:38s
,Unit: ZNN824,Peaje Llanos de Cuiva,Yarumal-Llanos de Cuivá,14/09/2024 6:59:19 p.m.,14/09/2024 6:51:39 p.m.,0-1h:52m:20s,704h:18m:38s
,Unit: ZNN824,EDS Texaco Trapiche,2 I-25 ,14/09/2024 9:12:11 p.m.,14/09/2024 9:15:10 p.m.,00h:02m:59s,704h:18m:38s
,Unit: ZNN824,EDS Texaco Trapiche,2 I-25 ,14/09/2024 9:17:10 p.m.,15/09/2024 4:59:15 a.m.,07h:42m:05s,704h:18m:38s
,Unit: ZNN824,Peaje El Trapiche,Hatillo-Girardota,15/09/2024 4:59:47 a.m.,15/09/2024 5:00:31 a.m.,00h:00m:44s,704h:18m:38s
,Unit: ZNN824,Quisol Medellin ,"Kr53 79bbs-68, La Estrella, Antioquia",15/09/2024 5:44:05 a.m.,15/09/2024 5:44:46 a.m.,00h:00m:41s,704h:18m:38s
,Unit: ZNN824,EDS Terpel Ancon Sur,"Cl95-86, La Estrella, Antioquia",15/09/2024 5:46:47 a.m.,15/09/2024 6:00:31 a.m.,00h:13m:44s,704h:18m:38s
,Unit: ZNN824,Lavagel S A S,33215 81 Sur117 Carrera 28 Calle 84 Sur Calle 84 Sur ,15/09/2024 6:01:30 a.m.,15/09/2024 6:02:17 a.m.,00h:00m:47s,704h:18m:38s
,Unit: ZNN824,Fungicol Y Cia,Santa Barbara-Caldas ,15/09/2024 6:23:47 a.m.,15/09/2024 6:24:21 a.m.,00h:00m:34s,704h:18m:38s
,Unit: ZNN824,Alto de Minas,Santa Barbara-Caldas ,15/09/2024 6:36:51 a.m.,15/09/2024 6:37:10 a.m.,00h:00m:19s,704h:18m:38s
,Unit: ZNN824,PC SANTA BARBARA,13-91 25,15/09/2024 7:11:30 a.m.,15/09/2024 7:15:27 a.m.,00h:03m:57s,704h:18m:38s
,Unit: ZNN824,El 41 - La Felisa,Manizales-La Felisa ,15/09/2024 10:07:16 a.m.,15/09/2024 10:07:50 a.m.,00h:00m:34s,704h:18m:38s
,Unit: ZNN824,Peaje Cerritos 2,Cerritos-Cartago ,15/09/2024 11:26:04 a.m.,15/09/2024 11:26:32 a.m.,00h:00m:28s,704h:18m:38s
,Unit: ZNN824,Peaje La Uribe al Sur,Uribe-Bugalagrande,15/09/2024 12:45:43 p.m.,15/09/2024 12:46:24 p.m.,00h:00m:41s,704h:18m:38s
,Unit: ZNN824,Peaje Betania,"Av 25s, Tulua, Valle Cauca",15/09/2024 1:25:48 p.m.,15/09/2024 1:27:48 p.m.,00h:02m:00s,704h:18m:38s
,Unit: ZNN824,Peaje Mediacanoa,Tulua - Cali,15/09/2024 2:04:22 p.m.,15/09/2024 2:05:09 p.m.,00h:00m:47s,704h:18m:38s
,Unit: ZNN824,Fogel Andina S.A.S.,"Cl15-39, Yumbo, Valle Cauca, Colombia",15/09/2024 2:46:02 p.m.,15/09/2024 2:48:01 p.m.,00h:01m:59s,704h:18m:38s
,Unit: ZNN824,Quimica Comercial Andina SA,292-29100 Calle 15 ,16/09/2024 1:52:37 p.m.,16/09/2024 1:54:36 p.m.,00h:01m:59s,704h:18m:38s
,Unit: ZNN824,Taller Mulas y Remolques,13-569 Carrera 23,17/09/2024 8:03:16 a.m.,17/09/2024 8:04:52 a.m.,00h:01m:36s,704h:18m:38s
,Unit: ZNN824,Cosmeticos Janny S.A.S.,1-99 Autooriental ,18/09/2024 4:43:45 a.m.,18/09/2024 4:44:28 a.m.,00h:00m:43s,704h:18m:38s
,Unit: ZNN824,Eds terpel El Bolo Comaju,Palmira-Candelaria ,18/09/2024 9:16:18 a.m.,18/09/2024 9:27:19 a.m.,00h:11m:01s,704h:18m:38s
,Unit: ZNN824,Crucero Palmira Candelaria,Palmira-Candelaria ,18/09/2024 9:36:17 a.m.,18/09/2024 9:37:33 a.m.,00h:01m:16s,704h:18m:38s
,Unit: ZNN824,Peaje Betania,"Av 25s, Tulua, Valle Cauca",18/09/2024 10:26:23 a.m.,18/09/2024 10:29:14 a.m.,00h:02m:51s,704h:18m:38s
,Unit: ZNN824,Peaje La Uribe al Norte,Tulua - Cartago,18/09/2024 10:58:21 a.m.,18/09/2024 10:58:48 a.m.,00h:00m:27s,704h:18m:38s
,Unit: ZNN824,Peaje Toro,Toro-Ansermanuevo,18/09/2024 12:18:17 p.m.,18/09/2024 12:18:55 p.m.,00h:00m:38s,704h:18m:38s
,Unit: ZNN824,Peaje Acapulco,La Virginia-Viterbo ,18/09/2024 1:06:06 p.m.,18/09/2024 1:06:56 p.m.,00h:00m:50s,704h:18m:38s
,Unit: ZNN824,El 41 - La Felisa,Manizales-La Felisa ,18/09/2024 1:40:53 p.m.,18/09/2024 1:42:34 p.m.,00h:01m:41s,704h:18m:38s
,Unit: ZNN824,Peaje San Onofre,Troncal del Caribe,20/09/2024 2:57:24 p.m.,20/09/2024 2:58:56 p.m.,00h:01m:32s,704h:18m:38s
,Unit: ZNN824,Peaje La esperanza,Palmira-Tolu Viejo,26/09/2024 9:14:23 a.m.,26/09/2024 9:15:05 a.m.,00h:00m:42s,704h:18m:38s
,Unit: ZNN824,parq. Sampuez,"Av 25, Sampues, Sucre",26/09/2024 9:51:32 a.m.,26/09/2024 9:54:31 a.m.,00h:02m:59s,704h:18m:38s
,Unit: ZNN824,parq. Sampuez,"Av 25, Sampues, Sucre",26/09/2024 11:07:22 a.m.,26/09/2024 11:13:19 a.m.,00h:05m:57s,704h:18m:38s
,Unit: ZNN824,Peaje La Apartada,Caucasia-La Apartada,26/09/2024 2:17:24 p.m.,26/09/2024 2:20:04 p.m.,00h:02m:40s,704h:18m:38s
,Unit: ZNN824,Peaje Taraza,Puerto Bélgica-Tarazá,26/09/2024 3:35:09 p.m.,26/09/2024 3:36:00 p.m.,00h:00m:51s,704h:18m:38s
,Unit: ZNN824,Peaje Llanos de Cuiva,Yarumal-Llanos de Cuivá,27/09/2024 6:45:25 a.m.,27/09/2024 6:48:01 a.m.,00h:02m:36s,704h:18m:38s
,Unit: ZNN824,Peaje El Trapiche,Hatillo-Girardota,27/09/2024 9:11:05 a.m.,27/09/2024 9:11:43 a.m.,00h:00m:38s,704h:18m:38s
,Unit: ZNN824,EDS Terpel Ancon Sur,"Cl95-86, La Estrella, Antioquia",27/09/2024 10:18:08 a.m.,27/09/2024 10:24:26 a.m.,00h:06m:18s,704h:18m:38s
,Unit: ZNN824,American Solvents S A S,Santa Barbara-Caldas ,27/09/2024 10:43:34 a.m.,27/09/2024 10:44:10 a.m.,00h:00m:36s,704h:18m:38s
,Unit: ZNN824,Alto de Minas,Santa Barbara-Caldas ,27/09/2024 11:00:32 a.m.,27/09/2024 11:00:51 a.m.,00h:00m:19s,704h:18m:38s
,Unit: ZNN824,PC SANTA BARBARA,13-91 25,27/09/2024 11:32:05 a.m.,27/09/2024 11:32:52 a.m.,00h:00m:47s,704h:18m:38s
